sales_agent,account,engage_date,close_date,close_value,sales_price,year_established,revenue,employees,office_location,has_close_date,close_value_log,revenue_log,employees_log,product_GTK 500,product_GTX BASIC,product_GTX PLUS BASIC,product_GTX PLUS PRO,product_GTX PRO,product_MG ADVANCED,product_MG SPECIAL,manager_CARA LOSCH,manager_CELIA ROUCHE,manager_DUSTIN BRINKMANN,manager_MELVIN MARXEN,manager_ROCCO NEUBERT,manager_SUMMER SEWALD,regional_office_CENTRAL,regional_office_EAST,regional_office_WEST,series_GTK,series_GTX,series_MG,sector_EMPLOYMENT,sector_ENTERTAINMENT,sector_FINANCE,sector_MARKETING,sector_MEDICAL,sector_RETAIL,sector_SERVICES,sector_SOFTWARE,sector_TECHNOLGY,sector_TELECOMMUNICATIONS,subsidiary_of_ACME CORPORATION,subsidiary_of_BUBBA GUMP,subsidiary_of_GOLDDEX,subsidiary_of_INITY,subsidiary_of_MASSIVE DYNAMIC,subsidiary_of_SONRON,subsidiary_of_WAREPHASE,deal_stage_ENGAGING,deal_stage_LOST,deal_stage_PROSPECTING,deal_stage_WON,sales_price_scaled,decade_1970s,decade_1980s,decade_1990s,decade_2000s,decade_2010s,engage_year,engage_month,engage_dayofweek,days_to_close,closed_within_30d,account_age,rev_per_employee,agent_closed_deals,won_deal,account_win_rate
20,8,2016-10-20,2017-03-01,1054.0,1096,2001.0,718.62,2448.0,14,1,6.961296045910167,6.578723294908609,7.803435056952168,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.48804252088212097,0,0,0,1,0,2016.0,10.0,3.0,132.0,0,24.0,0.2935539215686275,195,1,0.9207920792079208
6,38,2016-10-25,2017-03-11,4514.0,4821,2002.0,3178.24,4540.0,14,1,8.415160465851086,8.064397453499982,8.420902531097951,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9287953755560797,0,0,0,1,0,2016.0,10.0,1.0,137.0,0,23.0,0.7000528634361233,553,1,0.9411764705882353
6,8,2016-10-25,2017-03-07,50.0,55,2001.0,718.62,2448.0,14,1,3.9318256327243257,6.578723294908609,7.803435056952168,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,0,0,1,0,2016.0,10.0,1.0,133.0,0,24.0,0.2935539215686275,553,1,0.9207920792079208
20,10,2016-10-25,2017-03-09,588.0,550,1998.0,2714.9,2641.0,14,1,6.3784261836515865,7.9068786691495045,7.879291485082271,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,1,0,0,2016.0,10.0,1.0,135.0,0,27.0,1.027981825066263,195,1,0.9669421487603306
29,34,2016-10-25,2017-03-02,517.0,550,1982.0,792.46,1299.0,14,1,6.249975242259483,6.676403129118039,7.170119543449628,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,1,0,0,0,2016.0,10.0,1.0,128.0,0,43.0,0.6100538876058507,261,1,0.8735632183908046
0,58,2016-10-29,2017-03-01,49.0,55,1992.0,3922.42,6837.0,14,1,3.912023005428146,8.274719001401705,8.830250570199247,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,0,1,0,0,2016.0,10.0,5.0,123.0,0,33.0,0.5737048413046658,336,1,0.9553571428571429
26,40,2016-10-30,2017-03-02,57.0,55,1989.0,1388.67,3583.0,14,1,4.060443010546419,7.2368215878665625,8.18423477409482,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,1,0,0,0,2016.0,10.0,6.0,123.0,0,36.0,0.3875718671504326,347,1,0.948051948051948
17,9,2016-11-01,2017-03-07,601.0,550,1993.0,4269.9,6472.0,14,1,6.400257445308821,8.35957985684692,8.77539495854551,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6957186259707807,0,0,1,0,0,2016.0,11.0,1.0,126.0,0,32.0,0.6597496909765141,227,1,0.9183673469387755
21,84,2016-11-01,2017-03-03,1026.0,1096,1984.0,441.08,1210.0,14,1,6.934397209928558,6.091490861175107,7.099201743553092,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.48804252088212097,0,1,0,0,0,2016.0,11.0,1.0,122.0,0,41.0,0.3645289256198347,175,1,0.9047619047619048
12,35,2016-11-03,,,3393,1995.0,1698.2,3492.0,14,0,,7.43791283104762,8.158516244806831,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.38564248532420037,0,0,1,0,0,2016.0,11.0,3.0,,0,30.0,0.48631156930126,206,0,0.11876923076923077
0,3,2016-11-04,2017-03-10,53.0,55,2012.0,587.34,1356.0,11,1,3.9889840465642745,6.377305012079846,7.213031659834869,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,0,0,0,1,2016.0,11.0,4.0,126.0,0,13.0,0.433141592920354,336,1,0.9042553191489362
